ID	s	d	ts	te	LLC	ELC
3408	20	15	3	7	6	2.0
4505	24	15	4	7	6	2.0
3525	24	15	3	7	6	2.0
6677	33	16	6	7	5	2.0
586	24	16	0	7	5	1.0
1566	24	16	1	7	5	1.0
2546	24	16	2	7	5	1.0
3526	24	16	3	7	5	1.0
4506	24	16	4	7	5	1.0
469	20	16	0	7	5	1.0
1449	20	16	1	7	5	1.0
2429	20	16	2	7	5	1.0
3409	20	16	3	7	5	1.0
4389	20	16	4	7	5	1.0
2973	1	16	3	7	5	3.0
1993	1	16	2	7	5	2.0
1013	1	16	1	7	5	2.0
406	17	16	0	7	7	1.0
1386	17	16	1	7	7	1.0
2366	17	16	2	7	7	1.0
3346	17	16	3	7	7	1.0
4326	17	16	4	7	7	1.0
5304	17	16	5	7	7	1.0
6278	17	16	6	7	7	1.0
806	33	17	0	7	7	1.0
1786	33	17	1	7	7	1.0
2766	33	17	2	7	7	1.0
3746	33	17	3	7	7	1.0
4726	33	17	4	7	7	1.0
5704	33	17	5	7	7	1.0
6678	33	17	6	7	7	1.0
808	33	20	0	7	3	1.0
1788	33	20	1	7	3	1.0
2768	33	20	2	7	3	1.0
777	32	20	0	7	3	1.0
1757	32	20	1	7	3	1.0
2737	32	20	2	7	3	1.0
3717	32	20	3	7	3	1.0
4697	32	20	4	7	3	1.0
589	24	20	0	7	3	1.0
1569	24	20	1	7	3	1.0
2549	24	20	2	7	3	1.0
3529	24	20	3	7	3	1.0
4509	24	20	4	7	3	1.0
812	33	24	0	7	3	1.0
1792	33	24	1	7	3	1.0
2772	33	24	2	7	3	1.0
4995	4	24	5	7	8	2.0
5248	15	24	5	7	8	2.0
4270	15	24	4	7	8	2.0
3290	15	24	3	7	8	2.0
2310	15	24	2	7	8	2.0
1330	15	24	1	7	8	2.0
350	15	24	0	7	8	2.0
5279	16	24	5	7	8	2.0
5648	31	24	5	7	8	2.0
4670	31	24	4	7	8	2.0
3690	31	24	3	7	8	2.0
2710	31	24	2	7	8	2.0
1730	31	24	1	7	8	2.0
750	31	24	0	7	8	2.0
6253	16	24	6	7	8	2.0
6284	17	24	6	7	8	2.0
5310	17	24	5	7	8	2.0
4332	17	24	4	7	8	2.0
3352	17	24	3	7	8	2.0
2372	17	24	2	7	8	2.0
1392	17	24	1	7	8	2.0
412	17	24	0	7	8	2.0
781	32	24	0	7	3	1.0
1761	32	24	1	7	3	1.0
2741	32	24	2	7	3	1.0
3721	32	24	3	7	3	1.0
4701	32	24	4	7	3	1.0
382	16	26	0	7	6	1.0
1362	16	26	1	7	6	1.0
2342	16	26	2	7	6	1.0
3322	16	26	3	7	6	1.0
4302	16	26	4	7	6	1.0
4018	4	26	4	7	6	2.0
3038	4	26	3	7	6	2.0
2058	4	26	2	7	6	2.0
1078	4	26	1	7	6	2.0
98	4	26	0	7	6	2.0
4702	32	26	4	7	6	2.0
3722	32	26	3	7	6	2.0
2742	32	26	2	7	6	2.0
1762	32	26	1	7	6	2.0
782	32	26	0	7	6	2.0
5280	16	26	5	7	6	1.0
4996	4	26	5	7	6	2.0
813	33	26	0	7	6	3.0
1793	33	26	1	7	6	3.0
2773	33	26	2	7	6	3.0
5249	15	26	5	7	7	2.0
4271	15	26	4	7	7	2.0
3291	15	26	3	7	7	2.0
2311	15	26	2	7	7	2.0
1331	15	26	1	7	7	2.0
351	15	26	0	7	7	2.0
5649	31	26	5	7	7	2.0
4671	31	26	4	7	7	2.0
3691	31	26	3	7	7	2.0
2711	31	26	2	7	7	2.0
1731	31	26	1	7	7	2.0
751	31	26	0	7	7	2.0
5711	33	26	5	7	6	3.0
4733	33	26	4	7	6	3.0
3753	33	26	3	7	6	3.0
6254	16	26	6	7	6	1.0
1021	1	26	1	7	6	3.0
2001	1	26	2	7	6	3.0
2981	1	26	3	7	6	4.0
4396	20	26	4	7	6	2.0
3416	20	26	3	7	6	2.0
2436	20	26	2	7	6	2.0
1456	20	26	1	7	6	2.0
476	20	26	0	7	6	2.0
4513	24	26	4	7	6	2.0
3533	24	26	3	7	6	2.0
2553	24	26	2	7	6	2.0
1573	24	26	1	7	6	2.0
593	24	26	0	7	6	2.0
161	6	27	0	7	5	1.0
1141	6	27	1	7	5	1.0
2121	6	27	2	7	5	1.0
3101	6	27	3	7	5	1.0
4081	6	27	4	7	5	1.0
130	5	27	0	7	5	1.0
1110	5	27	1	7	5	1.0
2090	5	27	2	7	5	1.0
3070	5	27	3	7	5	1.0
4050	5	27	4	7	5	1.0
2983	1	28	3	7	10	5.0
2003	1	28	2	7	10	4.0
1023	1	28	1	7	10	4.0
5000	4	31	5	7	9	2.0
5253	15	31	5	7	9	2.0
4275	15	31	4	7	9	2.0
3295	15	31	3	7	9	2.0
2315	15	31	2	7	9	2.0
1335	15	31	1	7	9	2.0
355	15	31	0	7	9	2.0
1025	1	31	1	7	6	3.0
2005	1	31	2	7	6	3.0
2985	1	31	3	7	6	4.0
4400	20	31	4	7	6	2.0
3420	20	31	3	7	6	2.0
2440	20	31	2	7	6	2.0
1460	20	31	1	7	6	2.0
480	20	31	0	7	6	2.0
4517	24	31	4	7	6	2.0
3537	24	31	3	7	6	2.0
2557	24	31	2	7	6	2.0
1577	24	31	1	7	6	2.0
597	24	31	0	7	6	2.0
5496	24	32	5	7	3	1.0
6470	24	32	6	7	3	1.0
7441	24	32	7	7	3	1.0
5497	24	33	5	7	3	1.0
6471	24	33	6	7	3	1.0
7442	24	33	7	7	3	1.0
1027	1	33	1	7	6	3.0
2007	1	33	2	7	6	3.0
2987	1	33	3	7	6	4.0
4402	20	33	4	7	6	2.0
3422	20	33	3	7	6	2.0
4519	24	33	4	7	6	2.0
3539	24	33	3	7	6	2.0
7418	24	1	7	8	9	2.0
6447	24	1	6	8	9	2.0
5473	24	1	5	8	9	2.0
2535	24	1	2	8	4	2.0
1555	24	1	1	8	4	2.0
575	24	1	0	8	4	2.0
2754	33	1	2	8	4	2.0
1774	33	1	1	8	4	2.0
794	33	1	0	8	4	2.0
4978	4	1	5	8	9	2.0
