ID	s	d	ts	te	LLC	ELC
778	5	31	4	7	7	0.4
966	5	31	5	7	7	0.4
1154	5	31	6	7	7	0.4
1342	5	31	7	7	7	0.4
1372	11	32	7	7	5	0.43
1209	17	32	6	7	8	0.85
1021	17	32	5	7	8	0.85
833	17	32	4	7	8	0.85
645	17	32	3	7	8	0.85
457	17	32	2	7	8	0.85
269	17	32	1	7	8	0.85
81	17	32	0	7	8	0.85
1336	4	32	7	7	5	0.4
1323	1	32	7	7	1	0.45
134	29	35	0	7	8	0.34
322	29	35	1	7	8	0.34
510	29	35	2	7	8	0.34
698	29	35	3	7	8	0.34
886	29	35	4	7	8	0.34
1074	29	35	5	7	8	0.34
1262	29	35	6	7	8	0.34
1450	29	35	7	7	8	0.34
1403	19	35	7	7	7	0.44
1466	32	1	7	8	1	0.45
1329	4	1	7	8	6	0.74
74	17	1	0	8	9	1.32
262	17	1	1	8	9	1.32
450	17	1	2	8	9	1.32
638	17	1	3	8	9	1.32
826	17	1	4	8	9	1.32
1014	17	1	5	8	9	1.32
1202	17	1	6	8	9	1.32
1374	12	3	7	8	5	0.34
1356	9	3	7	8	1	0.43
1352	8	3	7	8	1	0.45
1348	7	3	7	8	1	0.43
1467	32	4	7	8	5	0.4
1316	1	4	7	8	5	0.85
1391	17	4	7	8	7	0.43
1366	11	4	7	8	5	0.43
145	31	5	0	8	7	0.4
333	31	5	1	8	7	0.4
521	31	5	2	8	7	0.4
709	31	5	3	8	7	0.4
897	31	5	4	8	7	0.4
1085	31	5	5	8	7	0.4
1273	31	5	6	8	7	0.4
1461	31	5	7	8	7	0.4
1416	22	5	7	8	7	0.37
1360	10	5	7	8	7	0.36
1343	6	5	7	8	1	0.45
1526	5	6	8	8	1	0.45
146	31	6	0	8	7	0.4
334	31	6	1	8	7	0.4
522	31	6	2	8	7	0.4
710	31	6	3	8	7	0.4
898	31	6	4	8	7	0.4
1086	31	6	5	8	7	0.4
1274	31	6	6	8	7	0.4
1462	31	6	7	8	7	0.4
1417	22	6	7	8	7	0.37
1361	10	6	7	8	7	0.36
1513	3	7	8	8	1	0.43
1375	12	7	7	8	5	0.44
1357	9	7	7	8	1	0.43
1353	8	7	7	8	1	0.45
1537	7	8	8	8	1	0.45
1514	3	8	8	8	1	0.45
1376	12	8	7	8	5	0.41
1358	9	8	7	8	1	0.45
1542	8	9	8	8	1	0.45
1538	7	9	8	8	1	0.43
1515	3	9	8	8	1	0.43
1377	12	9	7	8	5	0.5
1532	6	10	8	8	7	0.36
1527	5	10	8	8	7	0.36
147	31	10	0	8	7	0.4
335	31	10	1	8	7	0.4
523	31	10	2	8	7	0.4
711	31	10	3	8	7	0.4
899	31	10	4	8	7	0.4
1087	31	10	5	8	7	0.4
1275	31	10	6	8	7	0.4
1463	31	10	7	8	7	0.4
102	22	10	0	8	7	0.37
290	22	10	1	8	7	0.37
478	22	10	2	8	7	0.37
666	22	10	3	8	7	0.37
854	22	10	4	8	7	0.37
1042	22	10	5	8	7	0.37
1230	22	10	6	8	7	0.37
1418	22	10	7	8	7	0.37
1392	17	11	7	8	8	0.86
1518	4	11	8	8	5	0.43
1468	32	11	7	8	5	0.43
1547	9	12	8	8	5	0.5
1543	8	12	8	8	5	0.41
1539	7	12	8	8	5	0.44
1516	3	12	8	8	5	0.34
1368	11	17	7	8	7	0.86
1319	1	17	7	8	7	1.28
1470	32	17	7	8	7	0.83
1520	4	17	8	8	7	0.43
1482	35	19	7	8	7	0.44
130	29	19	0	8	8	0.35
318	29	19	1	8	8	0.35
506	29	19	2	8	8	0.35
694	29	19	3	8	8	0.35
882	29	19	4	8	8	0.35
1070	29	19	5	8	8	0.35
1258	29	19	6	8	8	0.35
1446	29	19	7	8	8	0.35
46	10	20	0	8	9	0.42
234	10	20	1	8	9	0.42
422	10	20	2	8	9	0.42
610	10	20	3	8	9	0.42
798	10	20	4	8	9	0.42
986	10	20	5	8	9	0.42
1174	10	20	6	8	9	0.42
1362	10	20	7	8	9	0.42
1550	10	20	8	8	9	0.42
29	6	20	0	8	9	0.42
217	6	20	1	8	9	0.42
405	6	20	2	8	9	0.42
593	6	20	3	8	9	0.42
781	6	20	4	8	9	0.42
969	6	20	5	8	9	0.42
1157	6	20	6	8	9	0.42
1345	6	20	7	8	9	0.42
1533	6	20	8	8	9	0.42
24	5	20	0	8	9	0.42
212	5	20	1	8	9	0.42
400	5	20	2	8	9	0.42
588	5	20	3	8	9	0.42
776	5	20	4	8	9	0.42
964	5	20	5	8	9	0.42
1152	5	20	6	8	9	0.42
1340	5	20	7	8	9	0.42
1528	5	20	8	8	9	0.42
92	20	22	0	8	9	0.44
280	20	22	1	8	9	0.44
468	20	22	2	8	9	0.44
656	20	22	3	8	9	0.44
844	20	22	4	8	9	0.44
1032	20	22	5	8	9	0.44
1220	20	22	6	8	9	0.44
1408	20	22	7	8	9	0.44
1596	20	22	8	8	9	0.44
1551	10	22	8	8	7	0.37
1534	6	22	8	8	7	0.37
1529	5	22	8	8	7	0.37
149	31	22	0	8	7	0.4
337	31	22	1	8	7	0.4
525	31	22	2	8	7	0.4
713	31	22	3	8	7	0.4
901	31	22	4	8	7	0.4
1089	31	22	5	8	7	0.4
1277	31	22	6	8	7	0.4
1465	31	22	7	8	7	0.4
1145	4	25	6	8	10	0.91
1095	32	25	5	8	10	1.31
993	11	25	5	8	10	1.34
957	4	25	5	8	10	0.91
155	32	25	0	8	10	1.31
343	32	25	1	8	10	1.31
531	32	25	2	8	10	1.31
719	32	25	3	8	10	1.31
907	32	25	4	8	10	1.31
53	11	25	0	8	10	1.34
241	11	25	1	8	10	1.34
429	11	25	2	8	10	1.34
617	11	25	3	8	10	1.34
805	11	25	4	8	10	1.34
769	4	25	4	8	10	0.91
581	4	25	3	8	10	0.91
393	4	25	2	8	10	0.91
205	4	25	1	8	10	0.91
17	4	25	0	8	10	0.91
1333	4	25	7	8	10	0.91
1283	32	25	6	8	10	1.31
1181	11	25	6	8	10	1.34
1521	4	25	8	8	10	0.91
1471	32	25	7	8	10	1.31
1320	1	25	7	8	10	1.76
1369	11	25	7	8	10	1.34
1589	19	29	8	8	8	0.35
169	35	29	0	8	8	0.34
357	35	29	1	8	8	0.34
545	35	29	2	8	8	0.34
733	35	29	3	8	8	0.34
921	35	29	4	8	8	0.34
1109	35	29	5	8	8	0.34
1297	35	29	6	8	8	0.34
1485	35	29	7	8	8	0.34
112	25	30	0	8	9	0.38
300	25	30	1	8	9	0.38
488	25	30	2	8	9	0.38
676	25	30	3	8	9	0.38
864	25	30	4	8	9	0.38
1052	25	30	5	8	9	0.38
