ID	s	d	ts	te	LLC	size	parent	parentTime	replica
90	6	10	1	9	8	1	19	8	3
58	1	8	1	9	8	1	19	8	3
44	0	8	4	9	5	1	19	8	3
88	0	10	4	9	5	1	19	8	3
13	6	10	3	9	6	1	19	8	3
53	6	10	1	9	8	10	19	8	3
99	0	11	6	9	3	10	19	8	3
4	3	11	1	9	8	1	19	8	3
75	3	9	1	9	8	1	19	8	3
48	2	11	0	9	9	1	19	8	3
54	2	8	0	9	9	1	19	8	3
45	2	9	1	9	8	1	19	8	3
17	5	11	7	9	2	1	19	8	3
59	6	8	3	9	6	10	19	8	3
79	7	9	5	9	4	1	19	8	3
87	0	8	9	10	1	1	0	9	3
69	1	9	8	10	2	1	6	9	5
11	6	8	9	13	4	10	6	9	5
32	1	11	3	10	7	10	15	9	4
2	1	11	8	14	6	10	6	10	5
38	6	11	10	11	1	1	6	10	5
74	4	11	6	11	5	1	19	10	3
57	0	9	11	14	3	100	0	11	2
61	5	9	11	12	1	10	5	11	3
68	6	9	2	12	10	25	14	11	4
50	7	10	8	12	4	1	19	11	3
94	2	11	6	12	6	1	19	11	3
12	5	9	12	13	1	1	5	12	3
56	5	10	12	13	1	25	5	12	3
25	6	11	12	13	1	1	6	12	5
73	1	9	12	14	2	1	6	13	5
42	6	8	13	14	1	1	6	13	5
3	1	9	0	14	14	25	15	13	4
6	7	11	10	14	4	1	19	13	3
43	4	8	9	14	5	1	19	13	3
39	0	9	14	15	1	25	0	14	3
21	4	8	1	15	14	10	19	14	3
40	0	11	15	16	1	10	0	15	3
47	5	9	15	16	1	1	5	15	3
92	6	8	15	16	1	1	6	15	5
18	3	10	12	16	4	1	19	15	3
76	1	8	15	17	2	1	6	16	5
9	1	9	13	17	4	10	14	16	4
52	3	9	7	17	10	10	16	16	3
81	7	9	7	17	10	10	16	16	3
91	6	9	7	20	13	50	14	17	4
83	3	11	15	18	3	1	19	17	3
80	7	10	15	18	3	1	19	17	3
36	3	11	8	19	11	10	9	18	3
20	7	11	8	19	11	10	9	18	3
24	6	9	15	21	6	50	14	18	4
82	7	11	9	20	11	10	9	19	3
1	4	8	5	20	15	10	9	19	3
22	6	8	5	24	19	100	14	19	4
26	1	9	2	24	22	100	14	19	4
27	1	8	4	24	20	100	14	19	4
71	7	8	11	21	10	10	0	20	3
16	2	9	6	21	15	10	0	20	3
14	1	9	14	22	8	25	15	20	5
96	7	10	13	23	10	10	0	22	3
37	2	10	10	24	14	10	0	23	3
8	4	10	12	24	12	10	0	23	3
0	7	11	14	24	10	10	0	23	3
77	1	9	10	28	18	100	25	23	2
46	4	10	11	25	14	10	0	24	3
36	3	11	8	12	4	10	3	8	4
20	7	11	8	12	4	10	7	8	3
50	7	10	8	9	1	1	7	8	3
94	2	11	6	9	3	1	10	8	4
4	3	11	1	9	8	1	24	8	3
75	3	9	1	9	8	1	24	8	3
48	2	11	0	9	9	1	24	8	3
54	2	8	0	9	9	1	24	8	3
45	2	9	1	9	8	1	24	8	3
65	0	8	0	9	9	1	24	8	3
